Code,Term,drugsubstancename,Observations,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,2001_census_16_grouping,2001_census_6_grouping,medicine,Source
2214741000033113,Fenofibrate micronised 160mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1862541000033115,Fenofibrate micronised 267mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3188941000033114,Fenofibrate micronised 200mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
564641000033113,Fenofibrate micronised 67mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2214841000033115,Supralip 160mg tablets (Viatris UK Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1862741000033111,Lipantil Micro 200 capsules (Viatris UK Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1862641000033119,Lipantil Micro 267 capsules (Viatris UK Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
836941000033116,Lipantil Micro 67 capsules (Viatris UK Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
11241741000033119,Fenofibrate 145mg / Simvastatin 20mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
11241841000033112,Fenofibrate 145mg / Simvastatin 40mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
11241941000033116,Cholib 145mg/20mg tablets (Viatris UK Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
578741000033117,Fluvastatin 40mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
578641000033114,Fluvastatin 20mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2189041000033110,Fluvastatin 80mg modified-release tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
819941000033119,Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
820041000033116,Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2189141000033114,Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
5007141000033112,Luvinsta XL 80mg tablets (Actavis UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
